Lfd_Nr,Sat_head_indicator,Sat_indicator,Sat_unit
1313,Emissions (EDGAR),'hfc_143a_3C1a_EDGAR_consistent',kilotonnes
1314,Emissions (EDGAR),'hfc_143a_3C1b_EDGAR_consistent',kilotonnes
1315,Emissions (EDGAR),'hfc_143a_3C1c_EDGAR_consistent',kilotonnes
1316,Emissions (EDGAR),'hfc_143a_3C1d_EDGAR_consistent',kilotonnes
1317,Emissions (EDGAR),'hfc_143a_3C2_EDGAR_consistent',kilotonnes
1318,Emissions (EDGAR),'hfc_143a_3C3_EDGAR_consistent',kilotonnes
1319,Emissions (EDGAR),'hfc_143a_3C4_EDGAR_consistent',kilotonnes
1320,Emissions (EDGAR),'hfc_143a_3C5_EDGAR_consistent',kilotonnes
1321,Emissions (EDGAR),'hfc_143a_3C6_EDGAR_consistent',kilotonnes
1322,Emissions (EDGAR),'hfc_143a_3C7_EDGAR_consistent',kilotonnes
1323,Emissions (EDGAR),'hfc_143a_3C8_EDGAR_consistent',kilotonnes
1324,Emissions (EDGAR),'hfc_143a_4A_EDGAR_consistent',kilotonnes
1325,Emissions (EDGAR),'hfc_143a_4B_EDGAR_consistent',kilotonnes
1326,Emissions (EDGAR),'hfc_143a_4C_EDGAR_consistent',kilotonnes
1327,Emissions (EDGAR),'hfc_143a_4D_EDGAR_consistent',kilotonnes
1328,Emissions (EDGAR),'hfc_143a_4E_EDGAR_consistent',kilotonnes
1329,Emissions (EDGAR),'hfc_143a_5B_EDGAR_consistent',kilotonnes
1330,Emissions (EDGAR),'hfc_143a_5A_EDGAR_consistent',kilotonnes
1331,Emissions (EDGAR),'hfc_152a_total_EDGAR_consistent',kilotonnes
1332,Emissions (EDGAR),'hfc_152a_1A1a_EDGAR_consistent',kilotonnes
1333,Emissions (EDGAR),'hfc_152a_1A1bc_EDGAR_consistent',kilotonnes
1334,Emissions (EDGAR),'hfc_152a_1A1b_EDGAR_consistent',kilotonnes
1335,Emissions (EDGAR),'hfc_152a_1A1ci_EDGAR_consistent',kilotonnes
1336,Emissions (EDGAR),'hfc_152a_1A1cii_EDGAR_consistent',kilotonnes
1337,Emissions (EDGAR),'hfc_152a_1A2_EDGAR_consistent',kilotonnes
1338,Emissions (EDGAR),'hfc_152a_1A2a_EDGAR_consistent',kilotonnes
1339,Emissions (EDGAR),'hfc_152a_1A2b_EDGAR_consistent',kilotonnes
1340,Emissions (EDGAR),'hfc_152a_1A2c_EDGAR_consistent',kilotonnes
1341,Emissions (EDGAR),'hfc_152a_1A2d_EDGAR_consistent',kilotonnes
1342,Emissions (EDGAR),'hfc_152a_1A2e_EDGAR_consistent',kilotonnes
1343,Emissions (EDGAR),'hfc_152a_1A2f_EDGAR_consistent',kilotonnes
1344,Emissions (EDGAR),'hfc_152a_1A2g_EDGAR_consistent',kilotonnes
1345,Emissions (EDGAR),'hfc_152a_1A2h_EDGAR_consistent',kilotonnes
1346,Emissions (EDGAR),'hfc_152a_1A2i_EDGAR_consistent',kilotonnes
1347,Emissions (EDGAR),'hfc_152a_1A2j_EDGAR_consistent',kilotonnes
1348,Emissions (EDGAR),'hfc_152a_1A2k_EDGAR_consistent',kilotonnes
1349,Emissions (EDGAR),'hfc_152a_1A2l_EDGAR_consistent',kilotonnes
1350,Emissions (EDGAR),'hfc_152a_1A2m_EDGAR_consistent',kilotonnes
1351,Emissions (EDGAR),'hfc_152a_1A3b_EDGAR_consistent',kilotonnes
1352,Emissions (EDGAR),'hfc_152a_1A3b_noRES_EDGAR_consistent',kilotonnes
1353,Emissions (EDGAR),'hfc_152a_1A3b_RES_EDGAR_consistent',kilotonnes
1354,Emissions (EDGAR),'hfc_152a_1A3a_EDGAR_consistent',kilotonnes
1355,Emissions (EDGAR),'hfc_152a_1A3c_EDGAR_consistent',kilotonnes
1356,Emissions (EDGAR),'hfc_152a_1A3d_EDGAR_consistent',kilotonnes
1357,Emissions (EDGAR),'hfc_152a_1A3e_EDGAR_consistent',kilotonnes
1358,Emissions (EDGAR),'hfc_152a_1A4_EDGAR_consistent',kilotonnes
1359,Emissions (EDGAR),'hfc_152a_1A4a_EDGAR_consistent',kilotonnes
1360,Emissions (EDGAR),'hfc_152a_1A4b_EDGAR_consistent',kilotonnes
1361,Emissions (EDGAR),'hfc_152a_1A4ci_EDGAR_consistent',kilotonnes
1362,Emissions (EDGAR),'hfc_152a_1A4cii_EDGAR_consistent',kilotonnes
1363,Emissions (EDGAR),'hfc_152a_1A4ciii_EDGAR_consistent',kilotonnes
1364,Emissions (EDGAR),'hfc_152a_1A5_EDGAR_consistent',kilotonnes
1365,Emissions (EDGAR),'hfc_152a_1B1_EDGAR_consistent',kilotonnes
1366,Emissions (EDGAR),'hfc_152a_1B2_EDGAR_consistent',kilotonnes
1367,Emissions (EDGAR),'hfc_152a_2A1_EDGAR_consistent',kilotonnes
1368,Emissions (EDGAR),'hfc_152a_2A2_EDGAR_consistent',kilotonnes
1369,Emissions (EDGAR),'hfc_152a_2A3_EDGAR_consistent',kilotonnes
1370,Emissions (EDGAR),'hfc_152a_2A4_EDGAR_consistent',kilotonnes
1371,Emissions (EDGAR),'hfc_152a_2B_EDGAR_consistent',kilotonnes
1372,Emissions (EDGAR),'hfc_152a_2C_EDGAR_consistent',kilotonnes
1373,Emissions (EDGAR),'hfc_152a_2D_EDGAR_consistent',kilotonnes
1374,Emissions (EDGAR),'hfc_152a_2E_EDGAR_consistent',kilotonnes
1375,Emissions (EDGAR),'hfc_152a_2F_EDGAR_consistent',kilotonnes
1376,Emissions (EDGAR),'hfc_152a_2G_EDGAR_consistent',kilotonnes
1377,Emissions (EDGAR),'hfc_152a_2H_EDGAR_consistent',kilotonnes
1378,Emissions (EDGAR),'hfc_152a_3A1_EDGAR_consistent',kilotonnes
1379,Emissions (EDGAR),'hfc_152a_3A2_EDGAR_consistent',kilotonnes
1380,Emissions (EDGAR),'hfc_152a_3B1_EDGAR_consistent',kilotonnes
1381,Emissions (EDGAR),'hfc_152a_3B2_EDGAR_consistent',kilotonnes
1382,Emissions (EDGAR),'hfc_152a_3B3_EDGAR_consistent',kilotonnes
1383,Emissions (EDGAR),'hfc_152a_3B4&6_EDGAR_consistent',kilotonnes
1384,Emissions (EDGAR),'hfc_152a_3B5_EDGAR_consistent',kilotonnes
1385,Emissions (EDGAR),'hfc_152a_3C1_EDGAR_consistent',kilotonnes
1386,Emissions (EDGAR),'hfc_152a_3C1a_EDGAR_consistent',kilotonnes
1387,Emissions (EDGAR),'hfc_152a_3C1b_EDGAR_consistent',kilotonnes
1388,Emissions (EDGAR),'hfc_152a_3C1c_EDGAR_consistent',kilotonnes
1389,Emissions (EDGAR),'hfc_152a_3C1d_EDGAR_consistent',kilotonnes
1390,Emissions (EDGAR),'hfc_152a_3C2_EDGAR_consistent',kilotonnes
1391,Emissions (EDGAR),'hfc_152a_3C3_EDGAR_consistent',kilotonnes
1392,Emissions (EDGAR),'hfc_152a_3C4_EDGAR_consistent',kilotonnes
1393,Emissions (EDGAR),'hfc_152a_3C5_EDGAR_consistent',kilotonnes
1394,Emissions (EDGAR),'hfc_152a_3C6_EDGAR_consistent',kilotonnes
1395,Emissions (EDGAR),'hfc_152a_3C7_EDGAR_consistent',kilotonnes
1396,Emissions (EDGAR),'hfc_152a_3C8_EDGAR_consistent',kilotonnes
1397,Emissions (EDGAR),'hfc_152a_4A_EDGAR_consistent',kilotonnes
1398,Emissions (EDGAR),'hfc_152a_4B_EDGAR_consistent',kilotonnes
1399,Emissions (EDGAR),'hfc_152a_4C_EDGAR_consistent',kilotonnes
1400,Emissions (EDGAR),'hfc_152a_4D_EDGAR_consistent',kilotonnes
1401,Emissions (EDGAR),'hfc_152a_4E_EDGAR_consistent',kilotonnes
1402,Emissions (EDGAR),'hfc_152a_5B_EDGAR_consistent',kilotonnes
1403,Emissions (EDGAR),'hfc_152a_5A_EDGAR_consistent',kilotonnes
1404,Emissions (EDGAR),'hfc_227ea_total_EDGAR_consistent',kilotonnes
1405,Emissions (EDGAR),'hfc_227ea_1A1a_EDGAR_consistent',kilotonnes
1406,Emissions (EDGAR),'hfc_227ea_1A1bc_EDGAR_consistent',kilotonnes
1407,Emissions (EDGAR),'hfc_227ea_1A1b_EDGAR_consistent',kilotonnes
1408,Emissions (EDGAR),'hfc_227ea_1A1ci_EDGAR_consistent',kilotonnes
1409,Emissions (EDGAR),'hfc_227ea_1A1cii_EDGAR_consistent',kilotonnes
1410,Emissions (EDGAR),'hfc_227ea_1A2_EDGAR_consistent',kilotonnes
1411,Emissions (EDGAR),'hfc_227ea_1A2a_EDGAR_consistent',kilotonnes
1412,Emissions (EDGAR),'hfc_227ea_1A2b_EDGAR_consistent',kilotonnes
1413,Emissions (EDGAR),'hfc_227ea_1A2c_EDGAR_consistent',kilotonnes
1414,Emissions (EDGAR),'hfc_227ea_1A2d_EDGAR_consistent',kilotonnes
1415,Emissions (EDGAR),'hfc_227ea_1A2e_EDGAR_consistent',kilotonnes
1416,Emissions (EDGAR),'hfc_227ea_1A2f_EDGAR_consistent',kilotonnes
1417,Emissions (EDGAR),'hfc_227ea_1A2g_EDGAR_consistent',kilotonnes
1418,Emissions (EDGAR),'hfc_227ea_1A2h_EDGAR_consistent',kilotonnes
1419,Emissions (EDGAR),'hfc_227ea_1A2i_EDGAR_consistent',kilotonnes
1420,Emissions (EDGAR),'hfc_227ea_1A2j_EDGAR_consistent',kilotonnes
1421,Emissions (EDGAR),'hfc_227ea_1A2k_EDGAR_consistent',kilotonnes
1422,Emissions (EDGAR),'hfc_227ea_1A2l_EDGAR_consistent',kilotonnes
1423,Emissions (EDGAR),'hfc_227ea_1A2m_EDGAR_consistent',kilotonnes
1424,Emissions (EDGAR),'hfc_227ea_1A3b_EDGAR_consistent',kilotonnes
1425,Emissions (EDGAR),'hfc_227ea_1A3b_noRES_EDGAR_consistent',kilotonnes
1426,Emissions (EDGAR),'hfc_227ea_1A3b_RES_EDGAR_consistent',kilotonnes
1427,Emissions (EDGAR),'hfc_227ea_1A3a_EDGAR_consistent',kilotonnes
1428,Emissions (EDGAR),'hfc_227ea_1A3c_EDGAR_consistent',kilotonnes
1429,Emissions (EDGAR),'hfc_227ea_1A3d_EDGAR_consistent',kilotonnes
1430,Emissions (EDGAR),'hfc_227ea_1A3e_EDGAR_consistent',kilotonnes
1431,Emissions (EDGAR),'hfc_227ea_1A4_EDGAR_consistent',kilotonnes
1432,Emissions (EDGAR),'hfc_227ea_1A4a_EDGAR_consistent',kilotonnes
1433,Emissions (EDGAR),'hfc_227ea_1A4b_EDGAR_consistent',kilotonnes
1434,Emissions (EDGAR),'hfc_227ea_1A4ci_EDGAR_consistent',kilotonnes
1435,Emissions (EDGAR),'hfc_227ea_1A4cii_EDGAR_consistent',kilotonnes
1436,Emissions (EDGAR),'hfc_227ea_1A4ciii_EDGAR_consistent',kilotonnes
1437,Emissions (EDGAR),'hfc_227ea_1A5_EDGAR_consistent',kilotonnes
1438,Emissions (EDGAR),'hfc_227ea_1B1_EDGAR_consistent',kilotonnes
1439,Emissions (EDGAR),'hfc_227ea_1B2_EDGAR_consistent',kilotonnes
1440,Emissions (EDGAR),'hfc_227ea_2A1_EDGAR_consistent',kilotonnes
1441,Emissions (EDGAR),'hfc_227ea_2A2_EDGAR_consistent',kilotonnes
1442,Emissions (EDGAR),'hfc_227ea_2A3_EDGAR_consistent',kilotonnes
1443,Emissions (EDGAR),'hfc_227ea_2A4_EDGAR_consistent',kilotonnes
1444,Emissions (EDGAR),'hfc_227ea_2B_EDGAR_consistent',kilotonnes
1445,Emissions (EDGAR),'hfc_227ea_2C_EDGAR_consistent',kilotonnes
1446,Emissions (EDGAR),'hfc_227ea_2D_EDGAR_consistent',kilotonnes
1447,Emissions (EDGAR),'hfc_227ea_2E_EDGAR_consistent',kilotonnes
1448,Emissions (EDGAR),'hfc_227ea_2F_EDGAR_consistent',kilotonnes
1449,Emissions (EDGAR),'hfc_227ea_2G_EDGAR_consistent',kilotonnes
1450,Emissions (EDGAR),'hfc_227ea_2H_EDGAR_consistent',kilotonnes
1451,Emissions (EDGAR),'hfc_227ea_3A1_EDGAR_consistent',kilotonnes
1452,Emissions (EDGAR),'hfc_227ea_3A2_EDGAR_consistent',kilotonnes
1453,Emissions (EDGAR),'hfc_227ea_3B1_EDGAR_consistent',kilotonnes
1454,Emissions (EDGAR),'hfc_227ea_3B2_EDGAR_consistent',kilotonnes
1455,Emissions (EDGAR),'hfc_227ea_3B3_EDGAR_consistent',kilotonnes
1456,Emissions (EDGAR),'hfc_227ea_3B4&6_EDGAR_consistent',kilotonnes
1457,Emissions (EDGAR),'hfc_227ea_3B5_EDGAR_consistent',kilotonnes
1458,Emissions (EDGAR),'hfc_227ea_3C1_EDGAR_consistent',kilotonnes
1459,Emissions (EDGAR),'hfc_227ea_3C1a_EDGAR_consistent',kilotonnes
1460,Emissions (EDGAR),'hfc_227ea_3C1b_EDGAR_consistent',kilotonnes
1461,Emissions (EDGAR),'hfc_227ea_3C1c_EDGAR_consistent',kilotonnes
1462,Emissions (EDGAR),'hfc_227ea_3C1d_EDGAR_consistent',kilotonnes
1463,Emissions (EDGAR),'hfc_227ea_3C2_EDGAR_consistent',kilotonnes
1464,Emissions (EDGAR),'hfc_227ea_3C3_EDGAR_consistent',kilotonnes
1465,Emissions (EDGAR),'hfc_227ea_3C4_EDGAR_consistent',kilotonnes
1466,Emissions (EDGAR),'hfc_227ea_3C5_EDGAR_consistent',kilotonnes
1467,Emissions (EDGAR),'hfc_227ea_3C6_EDGAR_consistent',kilotonnes
1468,Emissions (EDGAR),'hfc_227ea_3C7_EDGAR_consistent',kilotonnes
1469,Emissions (EDGAR),'hfc_227ea_3C8_EDGAR_consistent',kilotonnes
1470,Emissions (EDGAR),'hfc_227ea_4A_EDGAR_consistent',kilotonnes
1471,Emissions (EDGAR),'hfc_227ea_4B_EDGAR_consistent',kilotonnes
1472,Emissions (EDGAR),'hfc_227ea_4C_EDGAR_consistent',kilotonnes
1473,Emissions (EDGAR),'hfc_227ea_4D_EDGAR_consistent',kilotonnes
1474,Emissions (EDGAR),'hfc_227ea_4E_EDGAR_consistent',kilotonnes
1475,Emissions (EDGAR),'hfc_227ea_5B_EDGAR_consistent',kilotonnes
1476,Emissions (EDGAR),'hfc_227ea_5A_EDGAR_consistent',kilotonnes
1477,Emissions (EDGAR),'hfc_236fa_total_EDGAR_consistent',kilotonnes
1478,Emissions (EDGAR),'hfc_236fa_1A1a_EDGAR_consistent',kilotonnes
1479,Emissions (EDGAR),'hfc_236fa_1A1bc_EDGAR_consistent',kilotonnes
1480,Emissions (EDGAR),'hfc_236fa_1A1b_EDGAR_consistent',kilotonnes
1481,Emissions (EDGAR),'hfc_236fa_1A1ci_EDGAR_consistent',kilotonnes
1482,Emissions (EDGAR),'hfc_236fa_1A1cii_EDGAR_consistent',kilotonnes
1483,Emissions (EDGAR),'hfc_236fa_1A2_EDGAR_consistent',kilotonnes
1484,Emissions (EDGAR),'hfc_236fa_1A2a_EDGAR_consistent',kilotonnes
1485,Emissions (EDGAR),'hfc_236fa_1A2b_EDGAR_consistent',kilotonnes
1486,Emissions (EDGAR),'hfc_236fa_1A2c_EDGAR_consistent',kilotonnes
1487,Emissions (EDGAR),'hfc_236fa_1A2d_EDGAR_consistent',kilotonnes
1488,Emissions (EDGAR),'hfc_236fa_1A2e_EDGAR_consistent',kilotonnes
1489,Emissions (EDGAR),'hfc_236fa_1A2f_EDGAR_consistent',kilotonnes
1490,Emissions (EDGAR),'hfc_236fa_1A2g_EDGAR_consistent',kilotonnes
1491,Emissions (EDGAR),'hfc_236fa_1A2h_EDGAR_consistent',kilotonnes
1492,Emissions (EDGAR),'hfc_236fa_1A2i_EDGAR_consistent',kilotonnes
1493,Emissions (EDGAR),'hfc_236fa_1A2j_EDGAR_consistent',kilotonnes
1494,Emissions (EDGAR),'hfc_236fa_1A2k_EDGAR_consistent',kilotonnes
1495,Emissions (EDGAR),'hfc_236fa_1A2l_EDGAR_consistent',kilotonnes
1496,Emissions (EDGAR),'hfc_236fa_1A2m_EDGAR_consistent',kilotonnes
1497,Emissions (EDGAR),'hfc_236fa_1A3b_EDGAR_consistent',kilotonnes
1498,Emissions (EDGAR),'hfc_236fa_1A3b_noRES_EDGAR_consistent',kilotonnes
1499,Emissions (EDGAR),'hfc_236fa_1A3b_RES_EDGAR_consistent',kilotonnes
1500,Emissions (EDGAR),'hfc_236fa_1A3a_EDGAR_consistent',kilotonnes
1501,Emissions (EDGAR),'hfc_236fa_1A3c_EDGAR_consistent',kilotonnes
1502,Emissions (EDGAR),'hfc_236fa_1A3d_EDGAR_consistent',kilotonnes
1503,Emissions (EDGAR),'hfc_236fa_1A3e_EDGAR_consistent',kilotonnes
1504,Emissions (EDGAR),'hfc_236fa_1A4_EDGAR_consistent',kilotonnes
1505,Emissions (EDGAR),'hfc_236fa_1A4a_EDGAR_consistent',kilotonnes
1506,Emissions (EDGAR),'hfc_236fa_1A4b_EDGAR_consistent',kilotonnes
1507,Emissions (EDGAR),'hfc_236fa_1A4ci_EDGAR_consistent',kilotonnes
1508,Emissions (EDGAR),'hfc_236fa_1A4cii_EDGAR_consistent',kilotonnes
1509,Emissions (EDGAR),'hfc_236fa_1A4ciii_EDGAR_consistent',kilotonnes
1510,Emissions (EDGAR),'hfc_236fa_1A5_EDGAR_consistent',kilotonnes
1511,Emissions (EDGAR),'hfc_236fa_1B1_EDGAR_consistent',kilotonnes
1512,Emissions (EDGAR),'hfc_236fa_1B2_EDGAR_consistent',kilotonnes
1513,Emissions (EDGAR),'hfc_236fa_2A1_EDGAR_consistent',kilotonnes
1514,Emissions (EDGAR),'hfc_236fa_2A2_EDGAR_consistent',kilotonnes
1515,Emissions (EDGAR),'hfc_236fa_2A3_EDGAR_consistent',kilotonnes
1516,Emissions (EDGAR),'hfc_236fa_2A4_EDGAR_consistent',kilotonnes
1517,Emissions (EDGAR),'hfc_236fa_2B_EDGAR_consistent',kilotonnes
1518,Emissions (EDGAR),'hfc_236fa_2C_EDGAR_consistent',kilotonnes
1519,Emissions (EDGAR),'hfc_236fa_2D_EDGAR_consistent',kilotonnes
1520,Emissions (EDGAR),'hfc_236fa_2E_EDGAR_consistent',kilotonnes
1521,Emissions (EDGAR),'hfc_236fa_2F_EDGAR_consistent',kilotonnes
1522,Emissions (EDGAR),'hfc_236fa_2G_EDGAR_consistent',kilotonnes
1523,Emissions (EDGAR),'hfc_236fa_2H_EDGAR_consistent',kilotonnes
1524,Emissions (EDGAR),'hfc_236fa_3A1_EDGAR_consistent',kilotonnes
1525,Emissions (EDGAR),'hfc_236fa_3A2_EDGAR_consistent',kilotonnes
1526,Emissions (EDGAR),'hfc_236fa_3B1_EDGAR_consistent',kilotonnes
1527,Emissions (EDGAR),'hfc_236fa_3B2_EDGAR_consistent',kilotonnes
1528,Emissions (EDGAR),'hfc_236fa_3B3_EDGAR_consistent',kilotonnes
1529,Emissions (EDGAR),'hfc_236fa_3B4&6_EDGAR_consistent',kilotonnes
1530,Emissions (EDGAR),'hfc_236fa_3B5_EDGAR_consistent',kilotonnes
1531,Emissions (EDGAR),'hfc_236fa_3C1_EDGAR_consistent',kilotonnes
1532,Emissions (EDGAR),'hfc_236fa_3C1a_EDGAR_consistent',kilotonnes
1533,Emissions (EDGAR),'hfc_236fa_3C1b_EDGAR_consistent',kilotonnes
1534,Emissions (EDGAR),'hfc_236fa_3C1c_EDGAR_consistent',kilotonnes
1535,Emissions (EDGAR),'hfc_236fa_3C1d_EDGAR_consistent',kilotonnes
1536,Emissions (EDGAR),'hfc_236fa_3C2_EDGAR_consistent',kilotonnes
1537,Emissions (EDGAR),'hfc_236fa_3C3_EDGAR_consistent',kilotonnes
1538,Emissions (EDGAR),'hfc_236fa_3C4_EDGAR_consistent',kilotonnes
1539,Emissions (EDGAR),'hfc_236fa_3C5_EDGAR_consistent',kilotonnes
1540,Emissions (EDGAR),'hfc_236fa_3C6_EDGAR_consistent',kilotonnes
1541,Emissions (EDGAR),'hfc_236fa_3C7_EDGAR_consistent',kilotonnes
1542,Emissions (EDGAR),'hfc_236fa_3C8_EDGAR_consistent',kilotonnes
1543,Emissions (EDGAR),'hfc_236fa_4A_EDGAR_consistent',kilotonnes
1544,Emissions (EDGAR),'hfc_236fa_4B_EDGAR_consistent',kilotonnes
1545,Emissions (EDGAR),'hfc_236fa_4C_EDGAR_consistent',kilotonnes
1546,Emissions (EDGAR),'hfc_236fa_4D_EDGAR_consistent',kilotonnes
1547,Emissions (EDGAR),'hfc_236fa_4E_EDGAR_consistent',kilotonnes
1548,Emissions (EDGAR),'hfc_236fa_5B_EDGAR_consistent',kilotonnes
1549,Emissions (EDGAR),'hfc_236fa_5A_EDGAR_consistent',kilotonnes
1550,Emissions (EDGAR),'hfc_245fa_total_EDGAR_consistent',kilotonnes
1551,Emissions (EDGAR),'hfc_245fa_1A1a_EDGAR_consistent',kilotonnes
1552,Emissions (EDGAR),'hfc_245fa_1A1bc_EDGAR_consistent',kilotonnes
1553,Emissions (EDGAR),'hfc_245fa_1A1b_EDGAR_consistent',kilotonnes
1554,Emissions (EDGAR),'hfc_245fa_1A1ci_EDGAR_consistent',kilotonnes
1555,Emissions (EDGAR),'hfc_245fa_1A1cii_EDGAR_consistent',kilotonnes
1556,Emissions (EDGAR),'hfc_245fa_1A2_EDGAR_consistent',kilotonnes
1557,Emissions (EDGAR),'hfc_245fa_1A2a_EDGAR_consistent',kilotonnes
1558,Emissions (EDGAR),'hfc_245fa_1A2b_EDGAR_consistent',kilotonnes
1559,Emissions (EDGAR),'hfc_245fa_1A2c_EDGAR_consistent',kilotonnes
1560,Emissions (EDGAR),'hfc_245fa_1A2d_EDGAR_consistent',kilotonnes
1561,Emissions (EDGAR),'hfc_245fa_1A2e_EDGAR_consistent',kilotonnes
1562,Emissions (EDGAR),'hfc_245fa_1A2f_EDGAR_consistent',kilotonnes
1563,Emissions (EDGAR),'hfc_245fa_1A2g_EDGAR_consistent',kilotonnes
1564,Emissions (EDGAR),'hfc_245fa_1A2h_EDGAR_consistent',kilotonnes
1565,Emissions (EDGAR),'hfc_245fa_1A2i_EDGAR_consistent',kilotonnes
1566,Emissions (EDGAR),'hfc_245fa_1A2j_EDGAR_consistent',kilotonnes
1567,Emissions (EDGAR),'hfc_245fa_1A2k_EDGAR_consistent',kilotonnes
1568,Emissions (EDGAR),'hfc_245fa_1A2l_EDGAR_consistent',kilotonnes
1569,Emissions (EDGAR),'hfc_245fa_1A2m_EDGAR_consistent',kilotonnes
1570,Emissions (EDGAR),'hfc_245fa_1A3b_EDGAR_consistent',kilotonnes
1571,Emissions (EDGAR),'hfc_245fa_1A3b_noRES_EDGAR_consistent',kilotonnes
1572,Emissions (EDGAR),'hfc_245fa_1A3b_RES_EDGAR_consistent',kilotonnes
1573,Emissions (EDGAR),'hfc_245fa_1A3a_EDGAR_consistent',kilotonnes
1574,Emissions (EDGAR),'hfc_245fa_1A3c_EDGAR_consistent',kilotonnes
1575,Emissions (EDGAR),'hfc_245fa_1A3d_EDGAR_consistent',kilotonnes
1576,Emissions (EDGAR),'hfc_245fa_1A3e_EDGAR_consistent',kilotonnes
1577,Emissions (EDGAR),'hfc_245fa_1A4_EDGAR_consistent',kilotonnes
1578,Emissions (EDGAR),'hfc_245fa_1A4a_EDGAR_consistent',kilotonnes
1579,Emissions (EDGAR),'hfc_245fa_1A4b_EDGAR_consistent',kilotonnes
1580,Emissions (EDGAR),'hfc_245fa_1A4ci_EDGAR_consistent',kilotonnes
1581,Emissions (EDGAR),'hfc_245fa_1A4cii_EDGAR_consistent',kilotonnes
1582,Emissions (EDGAR),'hfc_245fa_1A4ciii_EDGAR_consistent',kilotonnes
1583,Emissions (EDGAR),'hfc_245fa_1A5_EDGAR_consistent',kilotonnes
1584,Emissions (EDGAR),'hfc_245fa_1B1_EDGAR_consistent',kilotonnes
1585,Emissions (EDGAR),'hfc_245fa_1B2_EDGAR_consistent',kilotonnes
1586,Emissions (EDGAR),'hfc_245fa_2A1_EDGAR_consistent',kilotonnes
1587,Emissions (EDGAR),'hfc_245fa_2A2_EDGAR_consistent',kilotonnes
1588,Emissions (EDGAR),'hfc_245fa_2A3_EDGAR_consistent',kilotonnes
1589,Emissions (EDGAR),'hfc_245fa_2A4_EDGAR_consistent',kilotonnes
1590,Emissions (EDGAR),'hfc_245fa_2B_EDGAR_consistent',kilotonnes
1591,Emissions (EDGAR),'hfc_245fa_2C_EDGAR_consistent',kilotonnes
1592,Emissions (EDGAR),'hfc_245fa_2D_EDGAR_consistent',kilotonnes
1593,Emissions (EDGAR),'hfc_245fa_2E_EDGAR_consistent',kilotonnes
1594,Emissions (EDGAR),'hfc_245fa_2F_EDGAR_consistent',kilotonnes
1595,Emissions (EDGAR),'hfc_245fa_2G_EDGAR_consistent',kilotonnes
1596,Emissions (EDGAR),'hfc_245fa_2H_EDGAR_consistent',kilotonnes
1597,Emissions (EDGAR),'hfc_245fa_3A1_EDGAR_consistent',kilotonnes
1598,Emissions (EDGAR),'hfc_245fa_3A2_EDGAR_consistent',kilotonnes
1599,Emissions (EDGAR),'hfc_245fa_3B1_EDGAR_consistent',kilotonnes
1600,Emissions (EDGAR),'hfc_245fa_3B2_EDGAR_consistent',kilotonnes
1601,Emissions (EDGAR),'hfc_245fa_3B3_EDGAR_consistent',kilotonnes
1602,Emissions (EDGAR),'hfc_245fa_3B4&6_EDGAR_consistent',kilotonnes
1603,Emissions (EDGAR),'hfc_245fa_3B5_EDGAR_consistent',kilotonnes
1604,Emissions (EDGAR),'hfc_245fa_3C1_EDGAR_consistent',kilotonnes
1605,Emissions (EDGAR),'hfc_245fa_3C1a_EDGAR_consistent',kilotonnes
1606,Emissions (EDGAR),'hfc_245fa_3C1b_EDGAR_consistent',kilotonnes
1607,Emissions (EDGAR),'hfc_245fa_3C1c_EDGAR_consistent',kilotonnes
1608,Emissions (EDGAR),'hfc_245fa_3C1d_EDGAR_consistent',kilotonnes
1609,Emissions (EDGAR),'hfc_245fa_3C2_EDGAR_consistent',kilotonnes
1610,Emissions (EDGAR),'hfc_245fa_3C3_EDGAR_consistent',kilotonnes
1611,Emissions (EDGAR),'hfc_245fa_3C4_EDGAR_consistent',kilotonnes
1612,Emissions (EDGAR),'hfc_245fa_3C5_EDGAR_consistent',kilotonnes
1613,Emissions (EDGAR),'hfc_245fa_3C6_EDGAR_consistent',kilotonnes
1614,Emissions (EDGAR),'hfc_245fa_3C7_EDGAR_consistent',kilotonnes
1615,Emissions (EDGAR),'hfc_245fa_3C8_EDGAR_consistent',kilotonnes
1616,Emissions (EDGAR),'hfc_245fa_4A_EDGAR_consistent',kilotonnes
1617,Emissions (EDGAR),'hfc_245fa_4B_EDGAR_consistent',kilotonnes
1618,Emissions (EDGAR),'hfc_245fa_4C_EDGAR_consistent',kilotonnes
1619,Emissions (EDGAR),'hfc_245fa_4D_EDGAR_consistent',kilotonnes
1620,Emissions (EDGAR),'hfc_245fa_4E_EDGAR_consistent',kilotonnes
1621,Emissions (EDGAR),'hfc_245fa_5B_EDGAR_consistent',kilotonnes
1622,Emissions (EDGAR),'hfc_245fa_5A_EDGAR_consistent',kilotonnes
1623,Emissions (EDGAR),'hfc_365mfc_total_EDGAR_consistent',kilotonnes
1624,Emissions (EDGAR),'hfc_365mfc_1A1a_EDGAR_consistent',kilotonnes
1625,Emissions (EDGAR),'hfc_365mfc_1A1bc_EDGAR_consistent',kilotonnes
1626,Emissions (EDGAR),'hfc_365mfc_1A1b_EDGAR_consistent',kilotonnes
1627,Emissions (EDGAR),'hfc_365mfc_1A1ci_EDGAR_consistent',kilotonnes
1628,Emissions (EDGAR),'hfc_365mfc_1A1cii_EDGAR_consistent',kilotonnes
