Lfd_Nr,Sat_head_indicator,Sat_indicator,Sat_unit
121,Emissions (EDGAR),'c_c4f8_1A4cii_EDGAR_consistent',kilotonnes
122,Emissions (EDGAR),'c_c4f8_1A4ciii_EDGAR_consistent',kilotonnes
123,Emissions (EDGAR),'c_c4f8_1A5_EDGAR_consistent',kilotonnes
124,Emissions (EDGAR),'c_c4f8_1B1_EDGAR_consistent',kilotonnes
125,Emissions (EDGAR),'c_c4f8_1B2_EDGAR_consistent',kilotonnes
126,Emissions (EDGAR),'c_c4f8_2A1_EDGAR_consistent',kilotonnes
127,Emissions (EDGAR),'c_c4f8_2A2_EDGAR_consistent',kilotonnes
128,Emissions (EDGAR),'c_c4f8_2A3_EDGAR_consistent',kilotonnes
129,Emissions (EDGAR),'c_c4f8_2A4_EDGAR_consistent',kilotonnes
130,Emissions (EDGAR),'c_c4f8_2B_EDGAR_consistent',kilotonnes
131,Emissions (EDGAR),'c_c4f8_2C_EDGAR_consistent',kilotonnes
132,Emissions (EDGAR),'c_c4f8_2D_EDGAR_consistent',kilotonnes
133,Emissions (EDGAR),'c_c4f8_2E_EDGAR_consistent',kilotonnes
134,Emissions (EDGAR),'c_c4f8_2F_EDGAR_consistent',kilotonnes
135,Emissions (EDGAR),'c_c4f8_2G_EDGAR_consistent',kilotonnes
136,Emissions (EDGAR),'c_c4f8_2H_EDGAR_consistent',kilotonnes
137,Emissions (EDGAR),'c_c4f8_3A1_EDGAR_consistent',kilotonnes
138,Emissions (EDGAR),'c_c4f8_3A2_EDGAR_consistent',kilotonnes
139,Emissions (EDGAR),'c_c4f8_3B1_EDGAR_consistent',kilotonnes
140,Emissions (EDGAR),'c_c4f8_3B2_EDGAR_consistent',kilotonnes
141,Emissions (EDGAR),'c_c4f8_3B3_EDGAR_consistent',kilotonnes
142,Emissions (EDGAR),'c_c4f8_3B4&6_EDGAR_consistent',kilotonnes
143,Emissions (EDGAR),'c_c4f8_3B5_EDGAR_consistent',kilotonnes
144,Emissions (EDGAR),'c_c4f8_3C1_EDGAR_consistent',kilotonnes
145,Emissions (EDGAR),'c_c4f8_3C1a_EDGAR_consistent',kilotonnes
146,Emissions (EDGAR),'c_c4f8_3C1b_EDGAR_consistent',kilotonnes
147,Emissions (EDGAR),'c_c4f8_3C1c_EDGAR_consistent',kilotonnes
148,Emissions (EDGAR),'c_c4f8_3C1d_EDGAR_consistent',kilotonnes
149,Emissions (EDGAR),'c_c4f8_3C2_EDGAR_consistent',kilotonnes
150,Emissions (EDGAR),'c_c4f8_3C3_EDGAR_consistent',kilotonnes
151,Emissions (EDGAR),'c_c4f8_3C4_EDGAR_consistent',kilotonnes
152,Emissions (EDGAR),'c_c4f8_3C5_EDGAR_consistent',kilotonnes
153,Emissions (EDGAR),'c_c4f8_3C6_EDGAR_consistent',kilotonnes
154,Emissions (EDGAR),'c_c4f8_3C7_EDGAR_consistent',kilotonnes
155,Emissions (EDGAR),'c_c4f8_3C8_EDGAR_consistent',kilotonnes
156,Emissions (EDGAR),'c_c4f8_4A_EDGAR_consistent',kilotonnes
157,Emissions (EDGAR),'c_c4f8_4B_EDGAR_consistent',kilotonnes
158,Emissions (EDGAR),'c_c4f8_4C_EDGAR_consistent',kilotonnes
159,Emissions (EDGAR),'c_c4f8_4D_EDGAR_consistent',kilotonnes
160,Emissions (EDGAR),'c_c4f8_4E_EDGAR_consistent',kilotonnes
161,Emissions (EDGAR),'c_c4f8_5B_EDGAR_consistent',kilotonnes
162,Emissions (EDGAR),'c_c4f8_5A_EDGAR_consistent',kilotonnes
163,Emissions (EDGAR),'c2f6_total_EDGAR_consistent',kilotonnes
164,Emissions (EDGAR),'c2f6_1A1a_EDGAR_consistent',kilotonnes
165,Emissions (EDGAR),'c2f6_1A1bc_EDGAR_consistent',kilotonnes
166,Emissions (EDGAR),'c2f6_1A1b_EDGAR_consistent',kilotonnes
167,Emissions (EDGAR),'c2f6_1A1ci_EDGAR_consistent',kilotonnes
168,Emissions (EDGAR),'c2f6_1A1cii_EDGAR_consistent',kilotonnes
169,Emissions (EDGAR),'c2f6_1A2_EDGAR_consistent',kilotonnes
170,Emissions (EDGAR),'c2f6_1A2a_EDGAR_consistent',kilotonnes
171,Emissions (EDGAR),'c2f6_1A2b_EDGAR_consistent',kilotonnes
172,Emissions (EDGAR),'c2f6_1A2c_EDGAR_consistent',kilotonnes
173,Emissions (EDGAR),'c2f6_1A2d_EDGAR_consistent',kilotonnes
174,Emissions (EDGAR),'c2f6_1A2e_EDGAR_consistent',kilotonnes
175,Emissions (EDGAR),'c2f6_1A2f_EDGAR_consistent',kilotonnes
176,Emissions (EDGAR),'c2f6_1A2g_EDGAR_consistent',kilotonnes
177,Emissions (EDGAR),'c2f6_1A2h_EDGAR_consistent',kilotonnes
178,Emissions (EDGAR),'c2f6_1A2i_EDGAR_consistent',kilotonnes
179,Emissions (EDGAR),'c2f6_1A2j_EDGAR_consistent',kilotonnes
180,Emissions (EDGAR),'c2f6_1A2k_EDGAR_consistent',kilotonnes
181,Emissions (EDGAR),'c2f6_1A2l_EDGAR_consistent',kilotonnes
182,Emissions (EDGAR),'c2f6_1A2m_EDGAR_consistent',kilotonnes
183,Emissions (EDGAR),'c2f6_1A3b_EDGAR_consistent',kilotonnes
184,Emissions (EDGAR),'c2f6_1A3b_noRES_EDGAR_consistent',kilotonnes
185,Emissions (EDGAR),'c2f6_1A3b_RES_EDGAR_consistent',kilotonnes
186,Emissions (EDGAR),'c2f6_1A3a_EDGAR_consistent',kilotonnes
187,Emissions (EDGAR),'c2f6_1A3c_EDGAR_consistent',kilotonnes
188,Emissions (EDGAR),'c2f6_1A3d_EDGAR_consistent',kilotonnes
189,Emissions (EDGAR),'c2f6_1A3e_EDGAR_consistent',kilotonnes
190,Emissions (EDGAR),'c2f6_1A4_EDGAR_consistent',kilotonnes
191,Emissions (EDGAR),'c2f6_1A4a_EDGAR_consistent',kilotonnes
